MTX,%XLC,%Na2O,N/TX,kd,Tuoi,Cuongdo
250,50,5,0.64,1.553,3,6.79
300,50,5,0.533,1.594,3,27.34
350,50,5,0.457,1.626,3,38.53
400,50,5,0.4,1.658,3,42.97
450,50,5,0.356,1.683,3,46.38
250,50,5,0.64,1.553,7,21.37
300,50,5,0.533,1.594,7,41.7
350,50,5,0.457,1.626,7,46.33
400,50,5,0.4,1.658,7,53.98
450,50,5,0.356,1.683,7,51.08
250,50,5,0.64,1.553,28,36.39
300,50,5,0.533,1.594,28,57.97
350,50,5,0.457,1.626,28,61.05
400,50,5,0.4,1.658,28,64.51
450,50,5,0.356,1.683,28,67.68
250,50,5,0.64,1.553,56,44.86
300,50,5,0.533,1.594,56,65.91
350,50,5,0.457,1.626,56,68.42
400,50,5,0.4,1.658,56,70.82
450,50,5,0.356,1.683,56,73.52
250,50,5,0.64,1.553,112,46.16
300,50,5,0.533,1.594,112,67.55
350,50,5,0.457,1.626,112,69.03
400,50,5,0.4,1.658,112,71.19
450,50,5,0.356,1.683,112,73.45
250,50,5,0.64,1.553,3,9.64
300,50,5,0.533,1.594,3,38.81
350,50,5,0.457,1.626,3,39.52
400,50,5,0.4,1.658,3,48.84
450,50,5,0.356,1.683,3,50.71
250,50,5,0.64,1.553,7,25.21
300,50,5,0.533,1.594,7,44.19
350,50,5,0.457,1.626,7,51.72
400,50,5,0.4,1.658,7,59.62
450,50,5,0.356,1.683,7,64.04
250,50,5,0.64,1.553,28,36.76
300,50,5,0.533,1.594,28,55.56
350,50,5,0.457,1.626,28,58.64
400,50,5,0.4,1.658,28,67.45
450,50,5,0.356,1.683,28,73.43
250,50,5,0.64,1.553,56,47.67
300,50,5,0.533,1.594,56,68.03
350,50,5,0.457,1.626,56,71.98
400,50,5,0.4,1.658,56,74.05
450,50,5,0.356,1.683,56,76.18
250,50,5,0.64,1.553,112,48.26
300,50,5,0.533,1.594,112,69.36
350,50,5,0.457,1.626,112,73.34
400,50,5,0.4,1.658,112,74.22
450,50,5,0.356,1.683,112,76.11
250,50,5,0.64,1.553,3,9.91
300,50,5,0.533,1.594,3,29.51
350,50,5,0.457,1.626,3,39.69
400,50,5,0.4,1.658,3,46.3
450,50,5,0.356,1.683,3,47.98
250,50,5,0.64,1.553,7,25.64
300,50,5,0.533,1.594,7,43.24
350,50,5,0.457,1.626,7,47.9
400,50,5,0.4,1.658,7,53.05
450,50,5,0.356,1.683,7,59.96
250,50,5,0.64,1.553,28,38.91
300,50,5,0.533,1.594,28,54.18
350,50,5,0.457,1.626,28,61.61
400,50,5,0.4,1.658,28,68.31
450,50,5,0.356,1.683,28,70.78
250,50,5,0.64,1.553,56,47.07
300,50,5,0.533,1.594,56,62.02
350,50,5,0.457,1.626,56,69.65
400,50,5,0.4,1.658,56,71.67
450,50,5,0.356,1.683,56,74.53
250,50,5,0.64,1.553,112,48.7
300,50,5,0.533,1.594,112,63.22
350,50,5,0.457,1.626,112,70.14
400,50,5,0.4,1.658,112,72.94
450,50,5,0.356,1.683,112,74.68
250,50,4,0.64,1.55,28,22.27
300,50,4,0.533,1.59,28,36.81
350,50,4,0.457,1.623,28,45.55
400,50,4,0.4,1.655,28,56.11
450,50,4,0.356,1.68,28,59.53
250,50,5,0.64,1.604,28,36.39
300,50,5,0.533,1.646,28,57.97
350,50,5,0.457,1.678,28,61.05
400,50,5,0.4,1.71,28,64.51
450,50,5,0.356,1.735,28,67.68
342.6,50,3.32,0.467,1.617,28,36.16
342.6,50,6.68,0.467,1.627,28,73.67
451.1,50,5,0.355,1.684,28,69.05
276.7,50,5,0.578,1.575,28,46.17
342.6,50,5,0.467,1.622,28,60.09
250,50,4,0.64,1.55,28,21.32
300,50,4,0.533,1.59,28,36.53
350,50,4,0.457,1.623,28,47.1
400,50,4,0.4,1.655,28,58.15
450,50,4,0.356,1.68,28,57.29
250,50,5,0.64,1.604,28,36.76
300,50,5,0.533,1.646,28,55.56
350,50,5,0.457,1.678,28,58.64
400,50,5,0.4,1.71,28,67.45
450,50,5,0.356,1.735,28,73.43
342.6,50,3.32,0.467,1.617,28,34.05
342.6,50,6.68,0.467,1.627,28,70.62
451.1,50,5,0.355,1.684,28,72.74
276.7,50,5,0.578,1.575,28,45.26
342.6,50,5,0.467,1.622,28,58.01
250,50,4,0.64,1.55,28,20.89
300,50,4,0.533,1.59,28,34.2
350,50,4,0.457,1.623,28,44
400,50,4,0.4,1.655,28,60.71
450,50,4,0.356,1.68,28,60.18
250,50,5,0.64,1.604,28,38.91
300,50,5,0.533,1.646,28,54.18
350,50,5,0.457,1.678,28,61.61
400,50,5,0.4,1.71,28,68.31
450,50,5,0.356,1.735,28,70.78
342.6,50,3.32,0.467,1.617,28,37.31
342.6,50,6.68,0.467,1.627,28,68.42
451.1,50,5,0.355,1.684,28,71.32
276.7,50,5,0.578,1.575,28,44.89
342.6,50,5,0.467,1.622,28,60.93
276,30.1,4,0.58,1.584,3,6.03
280,40,4.02,0.57,1.58,3,8.43
292,50,3.99,0.548,1.584,3,15.59
314,50,4,0.51,1.601,3,21.66
310,50,4.48,0.516,1.6,3,23.39
340,50,5.01,0.47,1.62,3,33.85
412,50,5.51,0.388,1.667,3,44.87
276,30.1,4,0.58,1.584,7,15.07
280,40,4.02,0.57,1.58,7,19.67
292,50,3.99,0.548,1.584,7,25.01
314,50,4,0.51,1.601,7,31.85
310,50,4.48,0.516,1.6,7,36.83
340,50,5.01,0.47,1.62,7,47.39
412,50,5.51,0.388,1.667,7,57.37
276,30.1,4,0.58,1.584,28,25.12
280,40,4.02,0.57,1.58,28,31.23
292,50,3.99,0.548,1.584,28,36.25
314,50,4,0.51,1.601,28,42.47
310,50,4.48,0.516,1.6,28,49.77
340,50,5.01,0.47,1.62,28,61.54
412,50,5.51,0.388,1.667,28,73.55
276,30.1,4,0.58,1.584,56,30.65
280,40,4.02,0.57,1.58,56,37.16
292,50,3.99,0.548,1.584,56,42.05
314,50,4,0.51,1.601,56,49.69
310,50,4.48,0.516,1.6,56,58.73
340,50,5.01,0.47,1.62,56,71.39
412,50,5.51,0.388,1.667,56,78.33
276,30.1,4,0.58,1.584,112,30.9
280,40,4.02,0.57,1.58,112,37.54
292,50,3.99,0.548,1.584,112,43.14
314,50,4,0.51,1.601,112,49.9
310,50,4.48,0.516,1.6,112,59.48
340,50,5.01,0.47,1.62,112,72.31
412,50,5.51,0.388,1.667,112,79.8
276,30.1,4,0.58,1.584,3,6.16
280,40,4.02,0.57,1.58,3,8.57
292,50,3.99,0.548,1.584,3,15.91
314,50,4,0.51,1.601,3,22.01
310,50,4.48,0.516,1.6,3,23.81
340,50,5.01,0.47,1.62,3,34.54
412,50,5.51,0.388,1.667,3,45.75
276,30.1,4,0.58,1.584,7,15.44
280,40,4.02,0.57,1.58,7,20.01
292,50,3.99,0.548,1.584,7,25.52
314,50,4,0.51,1.601,7,32.54
310,50,4.48,0.516,1.6,7,37.64
340,50,5.01,0.47,1.62,7,48.12
412,50,5.51,0.388,1.667,7,58.77
276,30.1,4,0.58,1.584,28,25.01
280,40,4.02,0.57,1.58,28,31.7
292,50,3.99,0.548,1.584,28,36.76
314,50,4,0.51,1.601,28,42.55
310,50,4.48,0.516,1.6,28,50.1
340,50,5.01,0.47,1.62,28,61.99
412,50,5.51,0.388,1.667,28,74.43
276,30.1,4,0.58,1.584,56,30.73
280,40,4.02,0.57,1.58,56,37.49
292,50,3.99,0.548,1.584,56,41.94
314,50,4,0.51,1.601,56,50.07
310,50,4.48,0.516,1.6,56,58.55
340,50,5.01,0.47,1.62,56,72.37
412,50,5.51,0.388,1.667,56,78.11
276,30.1,4,0.58,1.584,112,31.24
280,40,4.02,0.57,1.58,112,38.1
292,50,3.99,0.548,1.584,112,43.38
314,50,4,0.51,1.601,112,50.4
310,50,4.48,0.516,1.6,112,59.58
340,50,5.01,0.47,1.62,112,72.58
412,50,5.51,0.388,1.667,112,80.03
276,30.1,4,0.58,1.584,3,6.17
280,40,4.02,0.57,1.58,3,8.45
292,50,3.99,0.548,1.584,3,15.57
314,50,4,0.51,1.601,3,21.82
310,50,4.48,0.516,1.6,3,23.29
340,50,5.01,0.47,1.62,3,33.91
412,50,5.51,0.388,1.667,3,44.65
276,30.1,4,0.58,1.584,7,15.2
280,40,4.02,0.57,1.58,7,19.63
292,50,3.99,0.548,1.584,7,25.46
314,50,4,0.51,1.601,7,32.28
310,50,4.48,0.516,1.6,7,37.67
340,50,5.01,0.47,1.62,7,48.44
412,50,5.51,0.388,1.667,7,58.29
276,30.1,4,0.58,1.584,28,25.7
280,40,4.02,0.57,1.58,28,31.96
292,50,3.99,0.548,1.584,28,36.33
314,50,4,0.51,1.601,28,42.35
310,50,4.48,0.516,1.6,28,49.89
340,50,5.01,0.47,1.62,28,62.89
412,50,5.51,0.388,1.667,28,74.33
276,30.1,4,0.58,1.584,56,31.02
280,40,4.02,0.57,1.58,56,37.16
292,50,3.99,0.548,1.584,56,42.62
314,50,4,0.51,1.601,56,50.21
310,50,4.48,0.516,1.6,56,59.73
340,50,5.01,0.47,1.62,56,72.79
412,50,5.51,0.388,1.667,56,78.75
276,30.1,4,0.58,1.584,112,30.98
280,40,4.02,0.57,1.58,112,37.56
292,50,3.99,0.548,1.584,112,43.65
314,50,4,0.51,1.601,112,50.08
310,50,4.48,0.516,1.6,112,59.47
340,50,5.01,0.47,1.62,112,74.04
412,50,5.51,0.388,1.667,112,81.61
350,40,5,0.415,1.679,28,54.8
400,40,3.99,0.4,1.663,28,52.69
400,40,6,0.4,1.671,28,66.37
300.2,40,4,0.533,1.597,28,35.62
300.2,40,5.99,0.533,1.604,28,56.29
400,60,3.99,0.4,1.646,28,59.92
400,60,6,0.4,1.653,28,81.58
300.2,60,4,0.533,1.583,28,39.32
300.2,60,5.99,0.533,1.59,28,63.98
342.6,50,3.31,0.467,1.616,28,36.16
342.6,50,6.67,0.467,1.627,28,73.67
451.2,50,5.01,0.355,1.684,28,72.74
276.6,50,5,0.578,1.574,28,46.17
342.6,33.2,5.01,0.467,1.635,28,47.79
342.6,66.8,5.01,0.467,1.609,28,61.12
342.6,50,5.01,0.467,1.622,28,60.09
342.6,50,5.01,0.467,1.622,28,62.04
342.6,50,5.01,0.467,1.622,28,56.28
342.6,50,5.01,0.467,1.622,28,58.65
342.6,50,5.01,0.467,1.622,28,63.8
342.6,50,5.01,0.467,1.622,28,62.15
400,40,3.99,0.4,1.663,28,53.15
400,40,6,0.4,1.671,28,68.96
300.2,40,4,0.533,1.597,28,35.26
300.2,40,5.99,0.533,1.604,28,54.44
400,60,3.99,0.4,1.646,28,60.09
400,60,6,0.4,1.653,28,75.73
300.2,60,4,0.533,1.583,28,38.07
300.2,60,5.99,0.533,1.59,28,62.97
342.6,50,3.31,0.467,1.616,28,34.05
342.6,50,6.67,0.467,1.627,28,70.62
451.2,50,5.01,0.355,1.684,28,71.32
276.6,50,5,0.578,1.574,28,45.26
342.6,33.2,5.01,0.467,1.635,28,49.57
342.6,66.8,5.01,0.467,1.609,28,66.59
342.6,50,5.01,0.467,1.622,28,58.01
342.6,50,5.01,0.467,1.622,28,62.72
342.6,50,5.01,0.467,1.622,28,57.51
342.6,50,5.01,0.467,1.622,28,58.89
342.6,50,5.01,0.467,1.622,28,59.06
342.6,50,5.01,0.467,1.622,28,61.11
400,40,3.99,0.4,1.663,28,47.92
400,40,6,0.4,1.671,28,63.39
300.2,40,4,0.533,1.597,28,37.06
300.2,40,5.99,0.533,1.604,28,56.79
400,60,3.99,0.4,1.646,28,57.96
400,60,6,0.4,1.653,28,76.9
300.2,60,4,0.533,1.583,28,39.98
300.2,60,5.99,0.533,1.59,28,61.96
342.6,50,3.31,0.467,1.616,28,37.31
342.6,50,6.67,0.467,1.627,28,68.42
451.2,50,5.01,0.355,1.684,28,69.05
276.6,50,5,0.578,1.574,28,44.89
342.6,33.2,5.01,0.467,1.635,28,51.2
342.6,66.8,5.01,0.467,1.609,28,65.3
342.6,50,5.01,0.467,1.622,28,60.93
342.6,50,5.01,0.467,1.622,28,60.62
342.6,50,5.01,0.467,1.622,28,61
342.6,50,5.01,0.467,1.622,28,61.09
342.6,50,5.01,0.467,1.622,28,61.89
342.6,50,5.01,0.467,1.622,28,60.25
